code,term,term_clean,semantic_tag
723086009,Fear of heart disease (finding),Fear of heart disease,finding
723087000,Fear of cardiovascular disease (finding),Fear of cardiovascular disease,finding
723092003,Fear of respiratory disease (finding),Fear of respiratory disease,finding
723093008,Fear of cancer of respiratory system (finding),Fear of cancer of respiratory system,finding
723112000,Fear of endocrine disease (finding),Fear of endocrine disease,finding
723113005,Fear of metabolic disease (finding),Fear of metabolic disease,finding
723114004,Fear of nutritional disease (finding),Fear of nutritional disease,finding
723115003,Fear of cancer of endocrine system (finding),Fear of cancer of endocrine system,finding
723117006,Fear of musculoskeletal disease (finding),Fear of musculoskeletal disease,finding
723118001,Fear of musculoskeletal cancer (finding),Fear of musculoskeletal cancer,finding
723119009,Fear of ear disease (finding),Fear of ear disease,finding
723120003,Fear of hematological disease (finding),Fear of hematological disease,finding
723121004,Fear of hematological cancer (finding),Fear of hematological cancer,finding
723177002,Recurrent ulcer of mouth (disorder),Recurrent ulcer of mouth,disorder
723373006,Uromodulin related autosomal dominant tubulointerstitial kidney disease (disorder),Uromodulin related autosomal dominant tubulointerstitial kidney disease,disorder
723559001,Assessment of perinatal mental health (procedure),Assessment of perinatal mental health,procedure
723620004,Requires vaccination (finding),Requires vaccination,finding
723641005,Assessment using Historical Clinical Risk management-20 violence risk assessment scheme version 3 (procedure),Assessment using Historical Clinical Risk management-20 violence risk assessment scheme version 3,procedure
723722000,Absence of lower limb (finding),Absence of lower limb,finding
723881000,Habitual snoring (finding),Habitual snoring,finding
723913009,Olfactory reference disorder (disorder),Olfactory reference disorder,disorder
724024003,Radium (223-Ra) dichloride (substance),Radium (223-Ra) dichloride,substance
724025002,Gallium (68-Ga) dotatate (substance),Gallium (68-Ga) dotatate,substance
724232004,Sensation of being warm (finding),Sensation of being warm,finding
724233009,Sensation of being cold (finding),Sensation of being cold,finding
724276006,"X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome (disorder)","X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome",disorder
724448000,Fear of genital disease (finding),Fear of genital disease,finding
724449008,Fear of breast disease (finding),Fear of breast disease,finding
724450008,Fear of genital cancer (finding),Fear of genital cancer,finding
724451007,Fear of breast cancer (finding),Fear of breast cancer,finding
724452000,Fear of sexual dysfunction (finding),Fear of sexual dysfunction,finding
724481004,Sexual dysfunction co-occurrent and due to prolapse of female genital organ (disorder),Sexual dysfunction co-occurrent and due to prolapse of female genital organ,disorder
724482006,Unable to have vaginal sexual intercourse co-occurrent and due to blockage of vagina (disorder),Unable to have vaginal sexual intercourse co-occurrent and due to blockage of vagina,disorder
724654009,Anxiety disorder caused by opioid (disorder),Anxiety disorder caused by opioid,disorder
724656006,Hypnotic dependence (disorder),Hypnotic dependence,disorder
724693000,Obsessive compulsive disorder caused by cocaine (disorder),Obsessive compulsive disorder caused by cocaine,disorder
724708007,Anxiety disorder caused by methylenedioxymethamphetamine (disorder),Anxiety disorder caused by methylenedioxymethamphetamine,disorder
724722007,Anxiety disorder caused by dissociative drug (disorder),Anxiety disorder caused by dissociative drug,disorder
724723002,Anxiety disorder caused by ketamine (disorder),Anxiety disorder caused by ketamine,disorder
724730008,Obsessive compulsive disorder caused by psychoactive substance (disorder),Obsessive compulsive disorder caused by psychoactive substance,disorder
724731007,Sexual dysfunction caused by psychoactive substance (finding),Sexual dysfunction caused by psychoactive substance,finding
724743008,Coercive sexual sadism (disorder),Coercive sexual sadism,disorder
724744002,Paraphilia involving non-consenting individual (disorder),Paraphilia involving non-consenting individual,disorder
724745001,Paraphilia involving solitary behavior or consenting individuals (disorder),Paraphilia involving solitary behavior or consenting individuals,disorder
724824002,Fear of neurological disease (finding),Fear of neurological disease,finding
724879005,Fear of skin disease (finding),Fear of skin disease,finding
725443000,Mumps genotype A (organism),Mumps genotype A,organism
725444006,Mumps genotype B (organism),Mumps genotype B,organism
725445007,Mumps genotype C (organism),Mumps genotype C,organism
725446008,Mumps genotype D (organism),Mumps genotype D,organism
725447004,Mumps genotype F (organism),Mumps genotype F,organism
725448009,Mumps genotype G (organism),Mumps genotype G,organism
725449001,Mumps genotype H (organism),Mumps genotype H,organism
725450001,Mumps genotype I (organism),Mumps genotype I,organism
725451002,Mumps genotype J (organism),Mumps genotype J,organism
725452009,Mumps genotype K (organism),Mumps genotype K,organism
725453004,Mumps genotype L (organism),Mumps genotype L,organism
725454005,Mumps genotype N (organism),Mumps genotype N,organism
725469006,Human alphaherpesvirus 3 clade 1 (organism),Human alphaherpesvirus 3 clade 1,organism
725470007,Human alphaherpesvirus 3 clade 2 (organism),Human alphaherpesvirus 3 clade 2,organism
725471006,Human alphaherpesvirus 3 clade 3 (organism),Human alphaherpesvirus 3 clade 3,organism
725472004,Human alphaherpesvirus 3 clade 4 (organism),Human alphaherpesvirus 3 clade 4,organism
725473009,Human alphaherpesvirus 3 clade 5 (organism),Human alphaherpesvirus 3 clade 5,organism
725835002,Detailed Assessment of Speed of Handwriting total standard score (observable entity),Detailed Assessment of Speed of Handwriting total standard score,observable entity
725875005,No next of kin (finding),No next of kin,finding
726017001,Mucin 1 related autosomal dominant tubulointerstitial kidney disease (disorder),Mucin 1 related autosomal dominant tubulointerstitial kidney disease,disorder
726403001,Fear of eye disease (finding),Fear of eye disease,finding
726429001,Radical mastectomy of left breast (procedure),Radical mastectomy of left breast,procedure
726430006,Radical mastectomy of right breast (procedure),Radical mastectomy of right breast,procedure
726436000,Modified radical mastectomy of right breast (procedure),Modified radical mastectomy of right breast,procedure
726437009,Modified radical mastectomy of left breast (procedure),Modified radical mastectomy of left breast,procedure
726495003,Ampicillin resistant Haemophilus influenzae (organism),Ampicillin resistant Haemophilus influenzae,organism
726497006,Fluoroquinolone resistant Campylobacter (organism),Fluoroquinolone resistant Campylobacter,organism
726499009,Fluoroquinolone resistant Shigella (organism),Fluoroquinolone resistant Shigella,organism
726523002,Injury caused by low temperature (disorder),Injury caused by low temperature,disorder
726731009,Swordfish (substance),Swordfish,substance
726749009,Sea bass (substance),Sea bass,substance
726755004,Leek (substance),Leek,substance
726758002,Endive (substance),Endive,substance
726759005,Cuttlefish (substance),Cuttlefish,substance
726761001,Chicory (substance),Chicory,substance
726763003,Carp (substance),Carp,substance
726764009,Vicia faba (substance),Vicia faba,substance
732206003,Measles virus genotype F (organism),Measles virus genotype F,organism
732207007,Measles virus genotype E (organism),Measles virus genotype E,organism
732208002,Measles virus genotype D1 (organism),Measles virus genotype D1,organism
732209005,Measles virus genotype B1 (organism),Measles virus genotype B1,organism
732210000,Measles virus genotype G1 (organism),Measles virus genotype G1,organism
732230001,Dissection of coronary artery (disorder),Dissection of coronary artery,disorder
732253000,"Yersinia enterocolitica biotype 1A serotype O:19,8 (organism)","Yersinia enterocolitica biotype 1A serotype O:19,8",organism
732254006,"Yersinia enterocolitica serogroup O:19,8 (organism)","Yersinia enterocolitica serogroup O:19,8",organism
732935002,Unit of presentation (unit of presentation),Unit of presentation,unit of presentation
733020007,Syringe (unit of presentation),Syringe,unit of presentation
733035008,Previously initiated dental therapy not completed (situation),Previously initiated dental therapy not completed,situation
733078003,Ukrainian (ethnic group),Ukrainian,ethnic group
733181005,Exposure to intestinal infectious disease (event),Exposure to intestinal infectious disease,event
733182003,Exposure to disease caused by ectoparasite (event),Exposure to disease caused by ectoparasite,event
733446001,Canadian (ethnic group),Canadian,ethnic group
733595003,Enterohemorrhagic Escherichia coli serogroup O:nonmotile (organism),Enterohemorrhagic Escherichia coli serogroup O:nonmotile,organism
733739009,Improved dentition (finding),Improved dentition,finding
733740006,Ischemic ulcer absent (situation),Ischemic ulcer absent,situation
733741005,Impaired cardiovascular system function (finding),Impaired cardiovascular system function,finding
733742003,Improved balance (finding),Improved balance,finding
733744002,Improvement in ability to use toilet independently (finding),Improvement in ability to use toilet independently,finding
733810001,Support for self-management (regime/therapy),Support for self-management,regime/therapy
733816007,Decreased withdrawn behavior (finding),Decreased withdrawn behavior,finding
733817003,Decreased social isolation (finding),Decreased social isolation,finding
733818008,Decreased despair (finding),Decreased despair,finding
733819000,Improved mood (finding),Improved mood,finding
733826000,Pain due to fracture (finding),Pain due to fracture,finding
733827009,Euphoria absent (situation),Euphoria absent,situation
733833000,Education about self-monitoring (procedure),Education about self-monitoring,procedure
733849003,Provision of quiet environment (procedure),Provision of quiet environment,procedure
733853001,Assessment of caregiver behavior (situation),Assessment of caregiver behavior,situation
733854007,Assessment of caregiver beliefs (situation),Assessment of caregiver beliefs,situation
733856009,Assessment of caregiver knowledge of instruction manual (situation),Assessment of caregiver knowledge of instruction manual,situation
733861006,Assessment of caregiver stress (situation),Assessment of caregiver stress,situation
733863009,Assessment of readiness for self-management (procedure),Assessment of readiness for self-management,procedure
733864003,Assessment of fine motor function (procedure),Assessment of fine motor function,procedure
733866001,Assessment of family readiness for self-management (situation),Assessment of family readiness for self-management,situation
733867005,Assessment of knowledge of instructional material (procedure),Assessment of knowledge of instructional material,procedure
733869008,Assessment of information processing (procedure),Assessment of information processing,procedure
733870009,Assessment of delirium (procedure),Assessment of delirium,procedure
733871008,Assessment of necrosis of skin (procedure),Assessment of necrosis of skin,procedure
733873006,Assessment of circulatory system (procedure),Assessment of circulatory system,procedure
733901008,Referral to self-management support service (procedure),Referral to self-management support service,procedure
733903006,Psychological resilience (finding),Psychological resilience,finding
733904000,Lack of psychological resilience (finding),Lack of psychological resilience,finding
733915005,Promotion of self-toileting (procedure),Promotion of self-toileting,procedure
733916006,Promotion of self-bathing (procedure),Promotion of self-bathing,procedure
733919004,Assessment of body movement (procedure),Assessment of body movement,procedure
733920005,Provision of pressure relieving mattress (procedure),Provision of pressure relieving mattress,procedure
733923007,Change of diaper (procedure),Change of diaper,procedure
733924001,Management of excoriation of skin (procedure),Management of excoriation of skin,procedure
733925000,Application of ointment (procedure),Application of ointment,procedure
733939000,Primary active dental caries extending into outer half of enamel (disorder),Primary active dental caries extending into outer half of enamel,disorder
733940003,Primary active dental caries extending into inner half of enamel (disorder),Primary active dental caries extending into inner half of enamel,disorder
733941004,Primary active dental caries extending into outer third of dentin (disorder),Primary active dental caries extending into outer third of dentin,disorder
733942006,Primary active dental caries extending into middle third of dentin (disorder),Primary active dental caries extending into middle third of dentin,disorder
733943001,Primary active dental caries extending into inner third of dentin (disorder),Primary active dental caries extending into inner third of dentin,disorder
733964002,Insertion of malleable tooth colored restoration into tooth (procedure),Insertion of malleable tooth colored restoration into tooth,procedure
734009000,Diastema of teeth (finding),Diastema of teeth,finding
734041006,Insufficiency of mesenteric artery (disorder),Insufficiency of mesenteric artery,disorder
734881000,Tomato (substance),Tomato,substance
734947007,Complex regional pain syndrome type I (disorder),Complex regional pain syndrome type I,disorder
734986006,Complex regional pain syndrome of lower limb (disorder),Complex regional pain syndrome of lower limb,disorder
734990008,Primary hyperoxaluria type III (disorder),Primary hyperoxaluria type III,disorder
734998001,Victim of human trafficking (finding),Victim of human trafficking,finding
735001008,Scandinavian (ethnic group),Scandinavian,ethnic group
735004000,Sweet potato (substance),Sweet potato,substance
735006003,Squid (substance),Squid,substance
735009005,Salmon (substance),Salmon,substance
735023007,Fixation of left testis (procedure),Fixation of left testis,procedure
735024001,Fixation of right testis (procedure),Fixation of right testis,procedure
735029006,Shellfish (substance),Shellfish,substance
735030001,Garlic (substance),Garlic,substance
735034005,Trout (substance),Trout,substance
735035006,Herring (substance),Herring,substance
735042006,Lettuce (substance),Lettuce,substance
735043001,Mackerel (substance),Mackerel,substance
735045008,Mushroom (substance),Mushroom,substance
735046009,Nutmeg (substance),Nutmeg,substance
735047000,Onion (substance),Onion,substance
735049002,Peach (substance),Peach,substance
735050002,Pear (substance),Pear,substance
735051003,Plum (substance),Plum,substance
735053000,Potato (substance),Potato,substance
735106000,Basil (substance),Basil,substance
735112005,Date ceased using moist tobacco (observable entity),Date ceased using moist tobacco,observable entity
735123009,Broccoli (substance),Broccoli,substance
735124003,Barley (substance),Barley,substance
735128000,Ex-smoker for less than 1 year (finding),Ex-smoker for less than 1 year,finding
735211005,Coconut (substance),Coconut,substance
735212003,Papaya (substance),Papaya,substance
735213008,Cucumber (substance),Cucumber,substance
735214002,Apricot (substance),Apricot,substance
735215001,Apple (substance),Apple,substance
735245003,Cod (substance),Cod,substance
735246002,Eel (substance),Eel,substance
735248001,Cherry (substance),Cherry,substance
735249009,Avocado (substance),Avocado,substance
735250009,Lack of opportunity for privacy (finding),Lack of opportunity for privacy,finding
735336002,Cauliflower (substance),Cauliflower,substance
735337006,Anchovy (substance),Anchovy,substance
735340006,Lemon (substance),Lemon,substance
735341005,Fish oil (substance),Fish oil,substance
735384006,Vocal articulation (observable entity),Vocal articulation,observable entity
735541006,Dissociative neurological symptom disorder (disorder),Dissociative neurological symptom disorder,disorder
735625001,Acquired generalized anorgasmia (disorder),Acquired generalized anorgasmia,disorder
735626000,Acquired situational anorgasmia (disorder),Acquired situational anorgasmia,disorder
735627009,Lifelong generalized anorgasmia (disorder),Lifelong generalized anorgasmia,disorder
735628004,Lifelong situational anorgasmia (disorder),Lifelong situational anorgasmia,disorder
735629007,Lifelong generalized early ejaculation (finding),Lifelong generalized early ejaculation,finding
735630002,Lifelong situational early ejaculation (finding),Lifelong situational early ejaculation,finding
735631003,Acquired generalized early ejaculation (finding),Acquired generalized early ejaculation,finding
735632005,Acquired situational early ejaculation (finding),Acquired situational early ejaculation,finding
735633000,Lifelong generalized delayed ejaculation (finding),Lifelong generalized delayed ejaculation,finding
735634006,Lifelong situational delayed ejaculation (finding),Lifelong situational delayed ejaculation,finding
735635007,Acquired generalized delayed ejaculation (finding),Acquired generalized delayed ejaculation,finding
735636008,Acquired situational delayed ejaculation (finding),Acquired situational delayed ejaculation,finding
735645009,Contusion of head (disorder),Contusion of head,disorder
735688001,Fear of urinary disease (finding),Fear of urinary disease,finding
735749005,Myelomeningocele co-occurrent with hydrocephalus (disorder),Myelomeningocele co-occurrent with hydrocephalus,disorder
735930004,Low-level literacy (finding),Low-level literacy,finding
735932007,Occupational exposure to vibration (event),Occupational exposure to vibration,event
735939003,Insufficient intake of food and water co-occurrent and due to self neglect (finding),Insufficient intake of food and water co-occurrent and due to self neglect,finding
735959004,Marine mollusk (substance),Marine mollusk,substance
735971005,Fish (substance),Fish,substance
735972003,Crayfish (substance),Crayfish,substance
735974002,European eel (substance),European eel,substance
735977009,Marine crustacean (substance),Marine crustacean,substance
735979007,Octopus (substance),Octopus,substance
736027000,Scallop (substance),Scallop,substance
736030007,Clam (substance),Clam,substance
736031006,Oyster (substance),Oyster,substance
736061003,Exposure to diethylstilbestrol in utero (event),Exposure to diethylstilbestrol in utero,event
736159005,Crab (substance),Crab,substance
736162008,Lobster (substance),Lobster,substance
736186005,Ability to self-administer medication (observable entity),Ability to self-administer medication,observable entity
736258006,Insect salivary substance (substance),Insect salivary substance,substance
736499003,Polyp of nasal cavity and/or nasal sinus (disorder),Polyp of nasal cavity and/or nasal sinus,disorder
736500007,Polyp of nasal cavity (disorder),Polyp of nasal cavity,disorder
736792008,At increased risk of honor based violence (finding),At increased risk of honor based violence,finding
736943009,Cryptococcus neoformans variant grubii genotype VNII (organism),Cryptococcus neoformans variant grubii genotype VNII,organism
736944003,Cryptococcus neoformans variant grubii genotype VNI (organism),Cryptococcus neoformans variant grubii genotype VNI,organism
736945002,Cryptococcus gattii genotype VGIII (organism),Cryptococcus gattii genotype VGIII,organism
736946001,Cryptococcus gattii genotype VGI (organism),Cryptococcus gattii genotype VGI,organism
736992003,Nephropathy following pre-eclampsia (disorder),Nephropathy following pre-eclampsia,disorder
736993008,Nephropathy following eclampsia (disorder),Nephropathy following eclampsia,disorder
737067005,Repair of ventral hernia using graft (procedure),Repair of ventral hernia using graft,procedure
737273002,Degeneration of posterior pole of eye (disorder),Degeneration of posterior pole of eye,disorder
737341006,Anxiety disorder caused by synthetic cannabinoid (disorder),Anxiety disorder caused by synthetic cannabinoid,disorder
737348000,Occupational exposure to ergonomic risk (event),Occupational exposure to ergonomic risk,event
737368006,Caregiver-child relationship problem (finding),Caregiver-child relationship problem,finding
737376008,Uncongenial work environment (finding),Uncongenial work environment,finding
737562008,Multicystic renal dysplasia (disorder),Multicystic renal dysplasia,disorder
737679006,Able to access school curriculum (finding),Able to access school curriculum,finding
739681000,Disorder of eye due to type 1 diabetes mellitus (disorder),Disorder of eye due to type 1 diabetes mellitus,disorder
740757008,Exposure to fenfluramine (event),Exposure to fenfluramine,event
741062008,Not in labor force (finding),Not in labor force,finding
741063003,Illicit drug injection in last 12 months (finding),Illicit drug injection in last 12 months,finding
741725004,Primary school started but not finished (finding),Primary school started but not finished,finding
746051007,Endovascular insertion of drug coated stent (procedure),Endovascular insertion of drug coated stent,procedure
746223006,Neonatal infection of mouth caused by Candida (disorder),Neonatal infection of mouth caused by Candida,disorder
761841000,Administration of vaccine product containing only Human papillomavirus antigen (procedure),Administration of vaccine product containing only Human papillomavirus antigen,procedure
762331007,Anxiety disorder caused by stimulant (disorder),Anxiety disorder caused by stimulant,disorder
762332000,Obsessive compulsive disorder caused by stimulant (disorder),Obsessive compulsive disorder caused by stimulant,disorder
762333005,Sexual dysfunction caused by stimulant (disorder),Sexual dysfunction caused by stimulant,disorder
762349007,Fear of mental disorder (finding),Fear of mental disorder,finding
762515000,Anxiety disorder caused by synthetic cathinone (disorder),Anxiety disorder caused by synthetic cathinone,disorder
762516004,Obsessive compulsive disorder caused by synthetic cathinone (disorder),Obsessive compulsive disorder caused by synthetic cathinone,disorder
762517008,Sexual dysfunction caused by synthetic cathinone (disorder),Sexual dysfunction caused by synthetic cathinone,disorder
762766007,Edible substance (substance),Edible substance,substance
762898005,Swelling of bilateral lower limbs (finding),Swelling of bilateral lower limbs,finding
762907005,Agenesis of left kidney (disorder),Agenesis of left kidney,disorder
762908000,Agenesis of right kidney (disorder),Agenesis of right kidney,disorder
762917000,Swelling of bilateral feet (finding),Swelling of bilateral feet,finding
762952008,Peanut (substance),Peanut,substance
763079000,Follow-up encounter declined (situation),Follow-up encounter declined,situation
763890006,Short stature with delayed bone age due to thyroid hormone metabolism deficiency (disorder),Short stature with delayed bone age due to thyroid hormone metabolism deficiency,disorder
764147003,Cephalosporin (substance),Cephalosporin,substance
764166003,Carbol-fuchsin (substance),Carbol-fuchsin,substance
764170006,Fibrinolysin (substance),Fibrinolysin,substance
764666002,Positron emission tomography of brain (procedure),Positron emission tomography of brain,procedure
764678003,Yttrium (90-Y) labeled microspheres (substance),Yttrium (90-Y) labeled microspheres,substance
764704008,Positron emission tomography and computed tomography of whole body using methionine C-11 (procedure),Positron emission tomography and computed tomography of whole body using methionine C-11,procedure
764821009,Technetium (99m-Tc) pyrophosphate (substance),Technetium (99m-Tc) pyrophosphate,substance
765059005,Assessment for crisis intervention (procedure),Assessment for crisis intervention,procedure
765099008,Pilchard (substance),Pilchard,substance
765108007,Pedophilia targeting children of female sex (disorder),Pedophilia targeting children of female sex,disorder
765109004,Pedophilia targeting children of male sex (disorder),Pedophilia targeting children of male sex,disorder
765110009,Sexual arousal by exposure of genitals to non-consenting person (disorder),Sexual arousal by exposure of genitals to non-consenting person,disorder
765111008,Sexual arousal by exposure of genitals to non-consenting postpubertal person (disorder),Sexual arousal by exposure of genitals to non-consenting postpubertal person,disorder
765112001,Sexual arousal by exposure of genitals to non-consenting prepubertal person (disorder),Sexual arousal by exposure of genitals to non-consenting prepubertal person,disorder
765151006,Asphyxiophilia (disorder),Asphyxiophilia,disorder
765169002,Telephone scatologia (disorder),Telephone scatologia,disorder
765172009,Doppler ultrasound (procedure),Doppler ultrasound,procedure
765205004,Disorder in remission (disorder),Disorder in remission,disorder
765226004,Occupational exposure to extreme temperature (event),Occupational exposure to extreme temperature,event
765285002,Sexually attracted to male sex (finding),Sexually attracted to male sex,finding
765286001,Sexually attracted to female sex (finding),Sexually attracted to female sex,finding
765287005,Sexually attracted to male and female sex (finding),Sexually attracted to male and female sex,finding
765288000,Sexually attracted to neither male nor female sex (finding),Sexually attracted to neither male nor female sex,finding
765289008,Sexual relationship problem due to gender identity confusion (finding),Sexual relationship problem due to gender identity confusion,finding
765330003,Autosomal dominant polycystic kidney disease (disorder),Autosomal dominant polycystic kidney disease,disorder
765378003,History of primary malignant neoplasm of skin (situation),History of primary malignant neoplasm of skin,situation
765399000,Sexual arousal by exposure of genitals to non-consenting prepubertal and postpubertal person (disorder),Sexual arousal by exposure of genitals to non-consenting prepubertal and postpubertal person,disorder
765400007,Sexual relationship problem due to sexual orientation confusion (finding),Sexual relationship problem due to sexual orientation confusion,finding
765480005,Vomiting co-occurrent and due to infectious disease (disorder),Vomiting co-occurrent and due to infectious disease,disorder
765501009,Product containing precisely morphine sulfate 100 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely morphine sulfate 100 milligram/1 each prolonged-release oral tablet,clinical drug
765523008,Product containing precisely fluvastatin (as fluvastatin sodium) 80 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely fluvastatin (as fluvastatin sodium) 80 milligram/1 each prolonged-release oral tablet,clinical drug
765536008,Product containing precisely oxycodone hydrochloride 15 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 15 milligram/1 each prolonged-release oral tablet,clinical drug
765561006,Product containing precisely morphine sulfate 10 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely morphine sulfate 10 milligram/1 each prolonged-release oral tablet,clinical drug
765569008,Product containing precisely oxycodone hydrochloride 80 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 80 milligram/1 each prolonged-release oral tablet,clinical drug
765580008,Product containing precisely morphine sulfate 200 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely morphine sulfate 200 milligram/1 each prolonged-release oral tablet,clinical drug
765581007,Product containing precisely oxycodone hydrochloride 30 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 30 milligram/1 each prolonged-release oral tablet,clinical drug
765601002,Product containing precisely oxycodone hydrochloride 5 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 5 milligram/1 each prolonged-release oral tablet,clinical drug
765617008,Product containing precisely oxycodone hydrochloride 40 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 40 milligram/1 each prolonged-release oral tablet,clinical drug
765641006,Product containing precisely morphine sulfate 15 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely morphine sulfate 15 milligram/1 each prolonged-release oral tablet,clinical drug
765645002,Product containing precisely oxycodone hydrochloride 60 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 60 milligram/1 each prolonged-release oral tablet,clinical drug
765648000,Product containing precisely mesalazine 500 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely mesalazine 500 milligram/1 each prolonged-release oral tablet,clinical drug
765661000,Product containing precisely morphine sulfate 30 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely morphine sulfate 30 milligram/1 each prolonged-release oral tablet,clinical drug
765667001,Product containing precisely oxycodone hydrochloride 20 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 20 milligram/1 each prolonged-release oral tablet,clinical drug
765706002,Product containing precisely oxycodone hydrochloride 10 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely oxycodone hydrochloride 10 milligram/1 each prolonged-release oral tablet,clinical drug
765721008,Product containing precisely gliclazide 30 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely gliclazide 30 milligram/1 each prolonged-release oral tablet,clinical drug
765735005,Product containing precisely morphine sulfate 60 milligram/1 each prolonged-release oral tablet (clinical drug),Product containing precisely morphine sulfate 60 milligram/1 each prolonged-release oral tablet,clinical drug
766068002,Sexual relationship problem (finding),Sexual relationship problem,finding
766087008,Product containing precisely alteplase 50 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely alteplase 50 milligram/1 vial powder for conventional release solution for injection,clinical drug
766095007,Product containing precisely alteplase 10 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely alteplase 10 milligram/1 vial powder for conventional release solution for injection,clinical drug
766096008,Product containing precisely alteplase 20 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely alteplase 20 milligram/1 vial powder for conventional release solution for injection,clinical drug
766113003,Product containing precisely deferoxamine mesilate 500 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely deferoxamine mesilate 500 milligram/1 vial powder for conventional release solution for injection,clinical drug
766122002,Product containing precisely etanercept 25 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely etanercept 25 milligram/1 vial powder for conventional release solution for injection,clinical drug
766123007,Product containing precisely etanercept 50 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely etanercept 50 milligram/1 vial powder for conventional release solution for injection,clinical drug
766130001,Product containing precisely glucagon hydrochloride 1 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely glucagon hydrochloride 1 milligram/1 vial powder for conventional release solution for injection,clinical drug
766142006,Product containing precisely melphalan (as melphalan hydrochloride) 50 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely melphalan (as melphalan hydrochloride) 50 milligram/1 vial powder for conventional release solution for injection,clinical drug
766146009,Product containing precisely omeprazole (as omeprazole sodium) 40 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely omeprazole (as omeprazole sodium) 40 milligram/1 vial powder for conventional release solution for injection,clinical drug
766202008,Product containing precisely certolizumab pegol 200 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely certolizumab pegol 200 milligram/1 vial powder for conventional release solution for injection,clinical drug
766217007,Product containing precisely vecuronium bromide 10 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely vecuronium bromide 10 milligram/1 vial powder for conventional release solution for injection,clinical drug
766218002,Product containing precisely vinblastine sulfate 10 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely vinblastine sulfate 10 milligram/1 vial powder for conventional release solution for injection,clinical drug
766294001,Product containing precisely chlorhexidine gluconate 50 milligram/1 milliliter conventional release cutaneous solution (clinical drug),Product containing precisely chlorhexidine gluconate 50 milligram/1 milliliter conventional release cutaneous solution,clinical drug
766298003,Product containing precisely lidocaine hydrochloride 20 milligram/1 milliliter conventional release cutaneous solution (clinical drug),Product containing precisely lidocaine hydrochloride 20 milligram/1 milliliter conventional release cutaneous solution,clinical drug
766301004,Product containing precisely povidone iodine 100 milligram/1 milliliter conventional release cutaneous solution (clinical drug),Product containing precisely povidone iodine 100 milligram/1 milliliter conventional release cutaneous solution,clinical drug
766419007,Product containing precisely budesonide 100 microgram/1 actuation conventional release nasal spray (clinical drug),Product containing precisely budesonide 100 microgram/1 actuation conventional release nasal spray,clinical drug
766466006,Product containing precisely chlorpromazine hydrochloride 5 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely chlorpromazine hydrochloride 5 milligram/1 milliliter conventional release oral solution,clinical drug
766473001,Product containing precisely dexamethasone (as dexamethasone sodium phosphate) 400 microgram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely dexamethasone (as dexamethasone sodium phosphate) 400 microgram/1 milliliter conventional release oral solution,clinical drug
766478005,Product containing precisely furosemide 4 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely furosemide 4 milligram/1 milliliter conventional release oral solution,clinical drug
766485009,Product containing precisely isoniazid 10 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely isoniazid 10 milligram/1 milliliter conventional release oral solution,clinical drug
766489003,Product containing precisely lithium citrate 104 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely lithium citrate 104 milligram/1 milliliter conventional release oral solution,clinical drug
